INTI_Big Ticket;BIG Ticket para probar descargas;s;s
0A01|0180
0A02|0000|||||Item basico|10000|100000|2100|||||1234|1|7
0A02|0000|||||Item con cantidad|100000|100000|2100|||||1234|1|7
0A02|0000|||||Item a anular|100000|100000|2100|||||1234|1|7
0A02|0001|||||Item a anular|100000|100000|2100|||||1234|1|7
0A02|0000|||||Item IVA no general|100000|100000|1050|||||1234|1|7
0A02|0000|||||Item IVA exento|100000|100000|0|||||1234|1|2
0A02|0000|||||Item no gravado|100000|100000|0|||||1234|1|1
0A02|0000|||||Item imp.int. fijo|100000|100000|2100|200000||||1234|1|7
0A02|0000|abcdefghhjiadsfkmñwsermjsdfaseresfgas 1|abcdefghhjiadsfkmñwsermjsdfaseresfgas 3|abcdefghhjiadsfkmñwsermjsdfaseresfgas 2|abcdefghhjiadsfkmñwsermjsdfaseresfgas 1|Item completo|10000|500000|1050|||||1234|1|7
0A02|0000|abcdefghhjiadsfkmñwsermjsdfaseresfgas 1|abcdefghhjiadsfkmñwsermjsdfaseresfgas 3|abcdefghhjiadsfkmñwsermjsdfaseresfgas 2|abcdefghhjiadsfkmñwsermjsdfaseresfgas 1|Item completo|10000|500000|1050|||||1234|1|7
0A02|0000|abcdefghhjiadsfkmñwsermjsdfaseresfgas 1|abcdefghhjiadsfkmñwsermjsdfaseresfgas 3|abcdefghhjiadsfkmñwsermjsdfaseresfgas 2|abcdefghhjiadsfkmñwsermjsdfaseresfgas 1|Item completo|10000|500000|1050|||||1234|1|7
0A02|0000|abcdefghhjiadsfkmñwsermjsdfaseresfgas 1|abcdefghhjiadsfkmñwsermjsdfaseresfgas 3|abcdefghhjiadsfkmñwsermjsdfaseresfgas 2|abcdefghhjiadsfkmñwsermjsdfaseresfgas 1|Item completo|10000|500000|1050|||||1234|1|7
0A02|0000|abcdefghhjiadsfkmñwsermjsdfaseresfgas 1|abcdefghhjiadsfkmñwsermjsdfaseresfgas 3|abcdefghhjiadsfkmñwsermjsdfaseresfgas 2|abcdefghhjiadsfkmñwsermjsdfaseresfgas 1|Item completo|10000|500000|1050|||||1234|1|7
